version,created_at,accuracy,precision,recall,f1_score,n_estimators,max_depth,dataset_size
1,2026-01-17T01:26:34.972232,1.0,1.0,1.0,1.0,0,None,0
2,2026-01-17T01:26:37.654466,1.0,1.0,1.0,1.0,0,None,0
3,2026-01-17T01:26:40.399292,1.0,1.0,1.0,1.0,0,None,0
4,2026-01-17T01:26:44.821640,1.0,1.0,1.0,1.0,0,None,0
5,2026-01-17T01:26:48.577094,0.9848331648129424,0.9851817888677099,0.9848331648129424,0.9849081765673765,0,None,0
6,2026-01-17T01:26:59.597662,0.9675450762829404,0.9679476767109967,0.9675450762829404,0.9676565239822061,0,None,0
